,Engine_ID,Timestamp,Temperature,Pressure,Rotational_Speed,Engine_Health,Fuel_Consumption,Vibration_Level,Oil_Temperature,Altitude,Humidity,Maintenance_Needed,Engine_Failure
0,1,2021-01-01 0:00:00,422.0549033,100.8079392,,1.429141931,32.02289671,2.005211243,69.12054043,697.6200892,48.48972742,0,0
1,1,2021-01-01 12:30:00,507.1361175,129.7168041,3208.155401,1.51978539,28.7677576,1.964717443,85.34312456,1043.885117,56.38912605,0,0
2,1,2021-01-02 1:00:00,479.7924796,116.290144,2955.616059,1.735808911,26.53939704,2.041815898,84.47689168,1328.160839,35.5020473,0,0
3,1,2021-01-02 13:30:00,492.8334034,133.6701713,,1.36970636,22.99867302,1.322682358,92.39476933,1033.610159,78.2878495,0,0
4,1,2021-01-03 2:00:00,512.0918385,128.0399879,2895.081244,1.347507462,37.39527961,1.675624084,70.74678768,1114.664212,51.15528787,0,0
5,1,2021-01-03 14:30:00,393.5602644,112.4632301,2736.289284,1.384235796,21.41352875,2.554924895,80.28021195,990.4045253,57.37457715,0,1
6,1,2021-01-04 3:00:00,393.0956337,92.03942838,2955.694075,1.24286521,39.51158406,2.121496389,84.36131628,1258.550181,48.99568192,0,0
7,1,2021-01-04 15:30:00,448.751274,96.47195527,2850.829208,1.2123852,23.60100605,2.196542526,73.30679163,1217.294312,50.76959381,0,0
8,1,2021-01-05 4:00:00,462.498127,118.1670505,3158.288783,0.9646740376,36.18427891,2.200104378,83.14622821,1280.599121,59.59547828,0,0
9,1,2021-01-05 16:30:00,449.04155,115.8857849,3359.458608,1.540949308,21.09892377,1.148441145,103.552818,1298.131373,45.83991612,1,0
10,1,2021-01-06 5:00:00,489.7880827,108.8419969,3074.533954,1.293767196,17.00502038,1.467074095,77.56198415,814.3232951,45.57565902,0,0
11,1,2021-01-06 17:30:00,473.6924266,141.4192796,3103.799649,1.492186463,29.38341658,2.108975252,79.8401958,561.5679124,55.62531279,0,0
12,1,2021-01-07 6:00:00,392.2322656,80.6860615,2480.028419,1.089735875,37.21242868,0.8872965429,63.81665059,726.8147003,59.93699345,0,1
13,1,2021-01-07 18:30:00,525.1365315,114.5694183,2938.710163,1.534490107,23.70479576,1.772605731,77.13880787,965.3943334,53.98483926,1,0
14,1,2021-01-08 7:00:00,,81.13918362,3473.719336,,22.61212074,2.634093965,74.21362771,1067.577907,44.84879664,0,0
15,1,2021-01-08 19:30:00,531.2880116,119.3915539,2487.994207,1.417139557,31.606909,2.240470106,61.21015287,906.537422,42.54699653,1,1
16,1,2021-01-09 8:00:00,520.6163781,135.4389042,2899.982509,1.703696947,26.98899139,2.571420221,88.3514796,1164.323419,42.71473128,0,0
17,1,2021-01-09 20:30:00,530.9297219,136.799366,,1.682469819,20.04118605,2.304439483,93.80448707,939.4265307,56.72103906,0,0
18,1,2021-01-10 9:00:00,467.3456627,103.0924808,3085.901081,1.084926942,37.5218269,1.875804998,62.59305736,898.6222681,50.19692264,1,0
19,1,2021-01-10 21:30:00,485.8637387,127.4548504,3149.624138,1.30784006,31.22892524,1.580320536,67.33999409,841.8014783,43.538141,0,0
20,1,2021-01-11 10:00:00,508.9207049,127.5955613,3227.605812,1.442629149,35.04579907,1.485062834,80.90668618,766.1412069,47.31418779,0,0
21,1,2021-01-11 22:30:00,535.0399882,137.6358866,2765.337419,1.461582019,29.14197705,2.27442542,78.42213119,848.1232853,48.00749932,0,0
22,1,2021-01-12 11:00:00,516.0123466,124.1488518,2985.124683,1.427031712,22.91688507,1.914901637,83.37982679,1091.163119,45.65639683,0,0
23,1,2021-01-12 23:30:00,502.6623505,113.3008545,2646.706718,1.816077702,29.21968895,2.472635202,95.02083972,567.8204465,48.19982644,0,0
24,1,2021-01-13 12:00:00,550.1882572,114.0909058,3068.775601,1.489184589,35.01714023,2.003825374,81.10680143,1076.998341,55.2317532,0,0
25,1,2021-01-14 0:30:00,459.5052449,106.0349697,2788.278581,1.454364453,22.83953508,1.797674276,67.18505715,1056.559928,52.46374409,1,0
26,1,2021-01-14 13:00:00,454.4309366,105.604103,2669.272207,1.32841799,34.98886281,1.518650714,88.14367742,1024.395693,50.19120252,1,0
27,1,2021-01-15 1:30:00,521.2108575,109.8969112,2803.48489,1.397496567,28.42856286,2.061306484,72.19528866,1017.24279,68.43781125,0,0
28,1,2021-01-15 14:00:00,438.6871534,95.50458203,3208.824434,1.423401834,35.31301989,1.698261356,71.06693182,1002.178024,47.06121681,1,0
29,1,2021-01-16 2:30:00,444.4935335,113.1195479,2797.538919,1.309026711,28.85296195,1.681211214,76.52170652,882.6815659,55.77053719,0,0
30,1,2021-01-16 15:00:00,506.8726064,126.8818022,,1.334198351,28.42413081,1.864197185,75.54710997,1156.446214,64.33085943,0,0
31,1,2021-01-17 3:30:00,582.1694561,140.8442356,3115.02094,1.774274388,30.98433999,1.474056461,80.37852337,1113.500664,45.90644945,0,0
32,1,2021-01-17 16:00:00,490.8975809,120.0425646,2980.856915,1.512029343,31.88077841,0.9371684863,89.80163461,1122.361911,84.34772365,1,0
33,1,2021-01-18 4:30:00,518.7446008,122.896526,2957.519753,1.473082388,28.79150534,1.419187115,76.19965223,1068.283991,41.92521345,0,0
34,1,2021-01-18 17:00:00,481.4405925,100.2478991,2969.775117,1.239117946,31.30802056,1.207243931,76.42162702,1254.39459,66.7755753,0,0
35,1,2021-01-19 5:30:00,,132.0873564,3219.363219,,26.07842193,1.948965464,64.29661288,830.9492887,46.13369705,0,0
36,1,2021-01-19 18:00:00,,136.9602787,3031.887246,,26.02629411,1.576170521,68.19190652,1001.408761,37.86528315,0,0
37,1,2021-01-20 6:30:00,471.8432005,126.3492128,2875.03178,1.678002923,38.19881604,2.391796899,62.22941451,754.2281349,50.03955339,1,0
38,1,2021-01-20 19:00:00,474.5724663,100.6050355,3108.607353,1.469956197,37.8357394,2.157040945,77.82302591,1079.838906,44.2884074,0,0
39,1,2021-01-21 7:30:00,467.5951162,121.2023378,3095.651127,1.396971718,35.11592188,1.769463851,96.17939472,1090.605227,42.72396786,0,0
40,1,2021-01-21 20:00:00,435.2107461,94.18759579,2704.288337,1.587551203,30.48404949,3.096441324,89.7526447,1085.250871,48.31235726,0,0
41,1,2021-01-22 8:30:00,538.0855018,128.8920342,3023.516654,1.565301366,26.4216702,1.759453629,83.56475783,1027.068533,58.65750206,0,0
42,1,2021-01-22 21:00:00,484.7092486,122.0811841,3126.367026,1.452885968,30.4522673,2.226083522,77.88193994,1279.238032,45.50768416,0,0
43,1,2021-01-23 9:30:00,483.7873165,108.6376677,2679.97264,1.531655063,30.08779922,2.039277011,89.99566693,808.2967693,49.73444361,0,0
44,1,2021-01-23 22:00:00,586.0978854,157.6380274,3051.526156,1.787611164,30.88803757,1.501198834,75.7547515,1129.141897,46.4036293,0,0
45,1,2021-01-24 10:30:00,505.252228,126.3579255,3017.431956,1.501684453,27.68017618,2.684184817,78.27766435,932.029959,66.13289872,1,0
46,1,2021-01-24 23:00:00,481.6967464,99.17673779,2876.166835,1.363240989,19.63194988,2.433722128,83.54652028,1029.615386,44.95424627,0,0
47,1,2021-01-25 11:30:00,474.1960588,138.3508137,2897.868991,1.373093989,24.19955769,1.536143877,61.03135298,705.4964915,45.41176178,0,0
48,1,2021-01-26 0:00:00,478.0693805,107.3785919,2891.335741,1.397231113,32.53403233,0.7547371184,74.70985262,852.0162211,37.85299037,0,0
49,1,2021-01-26 12:30:00,437.4968914,,2959.230565,,31.99700296,2.97218225,93.75305413,1152.506966,64.2684221,0,0
50,1,2021-01-27 1:00:00,570.4443604,136.0816472,2570.737492,1.528633483,30.80486932,1.841947356,76.47584263,1247.524742,64.80690539,0,0
51,1,2021-01-27 13:30:00,510.0465476,124.9348583,3144.330926,1.649874884,32.63013186,1.798837158,82.99877849,1082.169253,51.42309901,0,0
52,1,2021-01-28 2:00:00,559.0269756,129.6437631,,1.74604047,27.33274782,2.927082286,65.3410553,949.4616816,31.32064291,0,0
53,1,2021-01-28 14:30:00,688.6517816,157.7106363,2846.099123,2.215769131,31.13252893,1.994423213,81.70516581,1292.405137,44.49402384,1,0
54,1,2021-01-29 3:00:00,545.7280873,130.4962523,2855.338667,1.685765892,28.24841303,2.476799995,73.94880205,1016.333251,50.07456316,1,0
55,1,2021-01-29 15:30:00,502.4180499,129.646628,2729.686233,1.50020049,26.67605944,2.593164624,70.39667362,892.3911424,36.97096141,0,0
56,1,2021-01-30 4:00:00,556.8441827,144.2444223,3001.09495,1.825867646,33.03648367,1.351263501,67.61017862,812.1774762,55.56428808,0,0
57,1,2021-01-30 16:30:00,504.6596953,138.6703907,3008.52938,1.425189883,30.59615183,1.920273839,74.86877943,835.4381179,41.6656052,0,0
58,1,2021-01-31 5:00:00,496.7706734,121.2795384,3018.849432,1.492881787,31.06569623,2.943420642,83.00627692,1128.088106,49.90175834,1,1
59,1,2021-01-31 17:30:00,490.6761883,112.0443936,3028.770058,1.147400645,31.76259292,2.348303126,86.64190239,1287.807387,22.10089236,0,0
60,1,2021-02-01 6:00:00,565.0241853,112.6114041,2932.358019,1.791871338,33.24031605,1.701256972,79.70506225,888.6354516,78.09580297,0,0
